exonID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMUSE00000413699,48.55985506,1.633650779,0.379424942,4.305596696,1.67E-05,0.000221918,Ackr4
ENSMUSE00000414366,1680.440382,0.811807296,0.263456648,3.081369558,0.002060507,0.014279712,Calhm2
ENSMUSE00000415097,7.150525338,2.259164505,0.828440687,2.727008148,0.006391146,0.036342589,Il1a
ENSMUSE00000415440,49.03243449,2.084590673,0.385690992,5.404820747,6.49E-08,1.53E-06,Ints2
ENSMUSE00000415542,4.880159323,2.216075382,1.078210614,2.055326996,0.039847432,0.151281152,Zfp24
ENSMUSE00000418133,3.667407957,4.091053174,1.427697723,2.865489738,0.004163648,0.025528325,Pnma1
ENSMUSE00000421782,30.5188152,4.14073203,0.585299928,7.074547313,1.50E-12,7.57E-11,Primpol
ENSMUSE00000422344,20.35254302,2.017908276,0.754702111,2.673781149,0.007500138,0.041080066,Car5a
ENSMUSE00000422499,11.55200322,2.62723979,0.708471908,3.708318931,0.00020864,0.001977347,Pex12
ENSMUSE00000423775,2.31338727,4.481329379,1.65622641,2.705746843,0.006815098,0.038289491,Btbd1
ENSMUSE00000425811,32.45810736,4.131696379,0.507512777,8.141068697,3.92E-16,3.48E-14,Fancd2os
ENSMUSE00000428769,2.520210781,3.629395441,1.642735805,2.209360403,0.027149583,0.114005281,A930004D18Rik
ENSMUSE00000435843,994.155698,1.578907235,0.265815215,5.939867799,2.85E-09,8.52E-08,Usp37
ENSMUSE00000438720,168.9752251,2.32696428,0.519628138,4.478133709,7.53E-06,0.000108599,Cdk13
ENSMUSE00000438810,3.344080202,5.502453016,1.574613727,3.494477993,0.00047499,0.00402744,C1ql4
ENSMUSE00000439205,218.1753675,1.493947571,0.286078298,5.222163239,1.77E-07,3.74E-06,Mindy2
ENSMUSE00000442073,72.86682243,1.952752723,0.329142004,5.932857847,2.98E-09,8.82E-08,Paqr3
ENSMUSE00000443078,13.60079166,2.076962227,0.633349754,3.279329016,0.001040542,0.00792582,Trmt13
ENSMUSE00000443592,20.20852509,2.71756383,0.699405559,3.885533645,0.000102105,0.001073593,Fam84b
ENSMUSE00000444198,103.5026386,1.990743625,0.289084849,6.886364433,5.72E-12,2.65E-10,Fbxl13
ENSMUSE00000446656,8.865892197,3.705704494,0.780845115,4.745761256,2.08E-06,3.49E-05,Fgf2os
ENSMUSE00000448288,6.021269568,2.098439338,0.925916333,2.266337965,0.023430699,0.101811259,Gm11541
ENSMUSE00000452982,576.3950026,1.201043585,0.299098356,4.015547262,5.93E-05,0.000671612,Smyd1
ENSMUSE00000455801,13.59176329,2.264461738,0.746636135,3.032885273,0.002422277,0.016405107,2200002D01Rik
ENSMUSE00000456729,1.547595797,3.949494349,1.773559585,2.226874351,0.025955672,1,Bcl3
ENSMUSE00000458054,230.7193871,1.031690563,0.232749219,4.432627397,9.31E-06,0.000131243,Zfp750
ENSMUSE00000458380,2.207168202,3.034880611,1.534969368,1.977160375,0.048023505,0.173050217,Fkbp2
ENSMUSE00000461204,23.97095579,2.012632767,0.6951209,2.895370816,0.003787109,0.023645611,Il12rb2
ENSMUSE00000470848,342.1939849,0.464016918,0.199828859,2.322071594,0.020229081,0.090495321,Gapdhs
ENSMUSE00000471709,17.55600669,3.054169822,0.699716011,4.364870569,1.27E-05,0.000174374,P2ry14
ENSMUSE00000482629,38.23614288,3.298907699,0.49119506,6.716084853,1.87E-11,8.00E-10,Mfsd8
ENSMUSE00000483268,1.679631948,3.216119272,1.612593088,1.994377439,0.046110822,1,Atg9b
ENSMUSE00000484226,23.79318254,2.476642849,0.609882149,4.060854796,4.89E-05,0.000570487,Tex2
ENSMUSE00000485807,6.950262252,1.910240577,0.932092018,2.04941201,0.040421844,0.153065933,Gm10015
ENSMUSE00000488294,8.838609744,2.500445956,0.713754138,3.503231468,0.00045965,0.0039085,Vmn1r32
ENSMUSE00000491965,15.06420307,2.287424915,0.666330503,3.43286838,0.000597232,0.004883201,Gm6104
ENSMUSE00000496345,3.487783985,3.111539571,1.359425119,2.288864261,0.02208724,0.097286651,Fkbp5
ENSMUSE00000499627,15.3481457,2.156719111,0.629052619,3.428519403,0.000606883,0.004945143,Akna
ENSMUSE00000500863,30.11150372,0.718840241,0.364909131,1.969915743,0.048848028,0.175226304,Smim4
ENSMUSE00000501397,3.59896039,4.65489163,1.3536723,3.438713808,0.000584485,0.004788836,Ltbp4
ENSMUSE00000503495,3.713270996,4.676654173,1.498648423,3.120581253,0.001804945,0.01279138,Sgcg
ENSMUSE00000503751,22.51724871,1.426099019,0.576063162,2.475594889,0.013301441,0.06494265,Slc44a3
ENSMUSE00000506417,123.8724491,2.703076697,0.348960675,7.746078249,9.48E-15,6.80E-13,Rab26
ENSMUSE00000506987,142.2768916,0.526755386,0.260621248,2.021152877,0.043263942,0.161214683,1700017D01Rik
ENSMUSE00000507411,94.17919182,0.547538549,0.275742777,1.985685921,0.047068209,0.170122444,Ackr4
ENSMUSE00000512533,122.3315341,4.521393017,0.31872591,14.18583452,1.12E-45,1.91E-42,Ccn6
ENSMUSE00000518943,31.75188253,1.26884839,0.581045403,2.183733634,0.028981827,0.119923759,C2cd2
ENSMUSE00000521988,2.076312653,3.653156536,1.525434501,2.39483015,0.016628066,0.077530391,Gm23517
ENSMUSE00000522121,5.509826251,2.082606632,0.91364775,2.279441537,0.022640832,0.099016236,Gm22504
ENSMUSE00000529366,4.451496448,3.15798651,1.097104199,2.878474545,0.003996035,0.02474761,A630091E08Rik
ENSMUSE00000533732,33.93755467,2.140764081,0.556622417,3.845989694,0.000120067,0.001240552,Ppp2r5a
ENSMUSE00000549955,2.535535122,3.282676638,1.586096388,2.069657722,0.038484409,0.147511184,4922502D21Rik
ENSMUSE00000555729,13.23351326,2.307332698,0.882582407,2.614297181,0.008941123,0.047466843,Nol4l
ENSMUSE00000558391,8.593421113,3.781733369,0.86094801,4.392522343,1.12E-05,0.000155568,Zdhhc20
ENSMUSE00000573827,69.41690575,1.053371059,0.430430568,2.447249657,0.014395109,0.069148763,Gm10271
ENSMUSE00000575521,12.99549405,2.320350946,0.693924154,3.343810608,0.000826361,0.006502274,Slc5a4b
ENSMUSE00000578062,52.09856837,1.453393026,0.377638155,3.848639253,0.000118776,0.001229345,Heatr9
ENSMUSE00000582709,4.333434639,2.905994891,0.937612598,3.099355638,0.001939421,0.013558872,Gm23058
ENSMUSE00000591491,8.587697286,2.090257691,0.696932157,2.999226926,0.002706656,0.017932869,Gpr171
ENSMUSE00000592635,6.079656853,2.466615931,1.048779049,2.351892835,0.018678155,0.08479911,Mphosph9
ENSMUSE00000607848,7.523796429,3.762472916,1.455476895,2.585044757,0.009736636,0.05070895,Lta
ENSMUSE00000608052,3.394484724,3.617214765,1.526989325,2.368853996,0.017843296,0.081731028,1700034J05Rik
ENSMUSE00000608289,18.13356535,2.815247974,0.863326678,3.260930126,0.001110474,0.008399414,Bcat1
ENSMUSE00000610271,4.868706381,3.880556555,1.384980393,2.801885554,0.005080489,0.03009502,Asb2
ENSMUSE00000611426,3.126895506,5.522156604,1.790776564,3.083665888,0.002044671,0.014186467,Gm867
ENSMUSE00000616126,91.11161533,2.880669112,0.378838146,7.603957378,2.87E-14,1.91E-12,Gfod1
ENSMUSE00000617521,6.780535133,2.790813586,0.956465781,2.917839446,0.003524658,0.022370404,Zfp746
ENSMUSE00000625375,8.992758697,2.895405741,1.295436997,2.235080322,0.025412076,0.108545737,Gm4841
ENSMUSE00000633413,12.07846466,3.083006386,0.714052683,4.317617535,1.58E-05,0.000211593,Gm10604
ENSMUSE00000634479,1.795155881,3.472327825,1.659869569,2.091928118,0.036444946,0.141792503,Svip
ENSMUSE00000636870,2.628760008,3.9194599,1.513769023,2.589206042,0.009619752,0.050241167,Bloc1s3
ENSMUSE00000637517,4.769442987,5.125189203,1.336128498,3.835850526,0.00012513,0.00128211,Tmem150b
ENSMUSE00000639397,16.53544032,2.818010451,0.581689725,4.844525063,1.27E-06,2.22E-05,1700034I23Rik
ENSMUSE00000639646,1.945005614,4.136125437,1.533605328,2.696994697,0.006996838,0.039023098,Gm10735
ENSMUSE00000642259,68.69859221,5.886717414,0.576919423,10.20370814,1.91E-24,4.37E-22,Rmdn3
ENSMUSE00000644348,4.951747559,3.810270106,1.111306584,3.428639909,0.000606614,0.004945143,Gm10819
ENSMUSE00000646272,15.10926049,2.236668534,0.599189558,3.732822949,0.000189346,0.001820561,Fads6
ENSMUSE00000648718,5.259165711,3.143637406,1.257341077,2.500226442,0.012411395,0.061662991,Zfhx2
ENSMUSE00000649726,92.52877251,0.741446894,0.325018147,2.281247681,0.022533795,0.098656779,Rffl
ENSMUSE00000650159,23.4333056,1.466339514,0.590563729,2.482948819,0.013029981,0.064090075,Mansc4
ENSMUSE00000654067,13.53335411,4.493046529,0.741930992,6.055881988,1.40E-09,4.38E-08,Fnd3c2
ENSMUSE00000654235,1.899025867,4.480224246,1.734531183,2.582959759,0.009795675,0.05091443,Cxcr3
ENSMUSE00000657442,5.538377721,3.563897761,1.258525723,2.831803669,0.004628626,0.027933546,Lst1
ENSMUSE00000658353,2.901945942,3.809245155,1.483137529,2.568369473,0.010217818,0.052717571,Tagap1
ENSMUSE00000661357,3.820137699,4.664846185,1.61037559,2.896744222,0.00377057,0.023567054,Krt222
ENSMUSE00000661431,81.1602752,1.219401584,0.333356088,3.657955044,0.000254236,0.002347836,B4galnt2
ENSMUSE00000662368,40.23913998,1.861560652,0.452084829,4.11772422,3.83E-05,0.000464658,Gemin5
ENSMUSE00000664222,6.019440486,2.019756455,0.850279662,2.375402523,0.017529822,0.080723915,Gm26080
ENSMUSE00000664248,2.312234461,2.860097903,1.43101551,1.998649129,0.045646331,0.166516374,n-R5s158
ENSMUSE00000664350,2.755298556,2.900713598,1.343677037,2.158787802,0.030866633,0.125671293,Gm22657
ENSMUSE00000664557,3.333542285,2.226947324,1.054732012,2.111386872,0.034739073,0.136815644,Gm26013
ENSMUSE00000666869,2120.714874,0.576833646,0.18729004,3.079894933,0.002070736,0.014325599,Gm17106
ENSMUSE00000667793,5.708199898,2.906955076,1.125762784,2.582209253,0.009817004,0.05100304,Grhl3
ENSMUSE00000672243,16.38789208,1.422219786,0.706248669,2.013766323,0.044034073,0.162912395,Hdac5
ENSMUSE00000673184,122.4067351,1.484557985,0.433304661,3.426129739,0.000612248,0.004971853,Cdc26
ENSMUSE00000673962,10.83016767,2.77514335,0.932911773,2.974711467,0.002932642,0.019111909,Sp2
ENSMUSE00000676297,95.67370442,3.633297781,0.628292144,5.782815868,7.35E-09,2.05E-07,Ints8
ENSMUSE00000676894,33.66079628,1.339725466,0.524516058,2.554212486,0.010642829,0.054415458,Gipr
ENSMUSE00000676969,20.15190786,2.970667851,0.82508083,3.600456759,0.000317659,0.002821974,Ceacam15
ENSMUSE00000679217,3.810999317,2.647690778,1.238541587,2.137748788,0.032537137,0.130466146,Sqstm1
ENSMUSE00000680011,4.676141617,3.316648124,1.343648667,2.468389397,0.013572259,0.066021363,Kctd19
