ID,count
ENSMUSE00000877968,17
ENSMUSE00000791470,2
ENSMUSE00001009033,0
ENSMUSE00001323754,6
ENSMUSE00001320405,5
ENSMUSE00001342884,1
ENSMUSE00001168759,3
ENSMUSE00001344249,2
ENSMUSE00001342683,2
ENSMUSE00001336755,1
ENSMUSE00001344909,3
ENSMUSE00000357448,10
ENSMUSE00000725286,10
ENSMUSE00001306264,7
ENSMUSE00001018626,0
ENSMUSE00001345700,2
ENSMUSE00001325264,0
ENSMUSE00001331152,0
ENSMUSE00001335985,0
ENSMUSE00001321105,11
ENSMUSE00001153566,10
ENSMUSE00000947032,8
ENSMUSE00001332666,8
ENSMUSE00000950036,0
ENSMUSE00001293178,8
ENSMUSE00001323318,1
ENSMUSE00000951540,0
ENSMUSE00001098526,2
ENSMUSE00001342122,1
ENSMUSE00000664413,0
ENSMUSE00000603264,266
ENSMUSE00000603262,247
ENSMUSE00001334887,27
ENSMUSE00000603260,164
ENSMUSE00000603263,123
ENSMUSE00001319784,85
ENSMUSE00001331976,106
ENSMUSE00000343483,226
ENSMUSE00000155420,229
ENSMUSE00001324915,193
ENSMUSE00001321623,6
ENSMUSE00001334242,19
ENSMUSE00001328607,5
ENSMUSE00001326783,2
ENSMUSE00000807711,828
ENSMUSE00001233172,803
ENSMUSE00001213609,652
ENSMUSE00001240595,652
ENSMUSE00001276863,448
ENSMUSE00001069497,0
ENSMUSE00000549018,0
ENSMUSE00000869820,0
ENSMUSE00000870426,0
ENSMUSE00000855228,0
ENSMUSE00000912030,6
ENSMUSE00000603182,107
ENSMUSE00001252167,107
ENSMUSE00001238756,107
ENSMUSE00000603181,107
ENSMUSE00000798279,104
ENSMUSE00001296057,94
ENSMUSE00001278395,94
ENSMUSE00000769823,112
ENSMUSE00001333844,118
ENSMUSE00000767688,80
ENSMUSE00000807034,79
ENSMUSE00001221446,79
ENSMUSE00001280695,44
ENSMUSE00000786755,2
ENSMUSE00000438086,2
ENSMUSE00001333651,2
ENSMUSE00001326763,16
ENSMUSE00001333545,1
ENSMUSE00001335678,3
ENSMUSE00001319699,0
ENSMUSE00001253881,16
ENSMUSE00000786974,0
ENSMUSE00001289818,12
ENSMUSE00001212017,3
ENSMUSE00001337824,0
ENSMUSE00001331578,0
ENSMUSE00001321626,0
ENSMUSE00001075114,0
ENSMUSE00001327875,0
ENSMUSE00000824165,12
ENSMUSE00001314212,1
ENSMUSE00001316999,0
ENSMUSE00000367005,1
ENSMUSE00001333709,0
ENSMUSE00001324012,0
ENSMUSE00001327727,0
ENSMUSE00000154705,0
ENSMUSE00001322231,0
ENSMUSE00001219468,0
ENSMUSE00000399741,0
ENSMUSE00000350546,0
ENSMUSE00001333689,0
ENSMUSE00000507163,207
ENSMUSE00000816567,77
ENSMUSE00001324026,114
ENSMUSE00001323148,112
ENSMUSE00001322607,16
ENSMUSE00001345322,1
ENSMUSE00001336058,0
ENSMUSE00000711917,3
ENSMUSE00001345586,0
ENSMUSE00001315931,0
ENSMUSE00001082558,0
ENSMUSE00000846527,0
ENSMUSE00001335817,2
ENSMUSE00001179838,0
ENSMUSE00000522168,0
ENSMUSE00001328050,1
ENSMUSE00001323667,0
ENSMUSE00001326844,2
ENSMUSE00001322057,0
ENSMUSE00001333203,1
ENSMUSE00001316713,0
ENSMUSE00001327100,0
ENSMUSE00001327918,0
ENSMUSE00001328708,15
ENSMUSE00001320368,1
ENSMUSE00001324302,0
ENSMUSE00001330519,307
ENSMUSE00001331327,305
ENSMUSE00000301667,232
ENSMUSE00001322952,162
ENSMUSE00001335637,45
ENSMUSE00001324106,70
ENSMUSE00001321908,0
ENSMUSE00001329653,20
ENSMUSE00001341610,1
ENSMUSE00001334754,0
ENSMUSE00001324359,11
ENSMUSE00000819030,30
ENSMUSE00001275750,30
ENSMUSE00001267839,29
ENSMUSE00000754995,2
ENSMUSE00000742008,2
ENSMUSE00001210063,1
ENSMUSE00001313364,1
ENSMUSE00000824723,6
ENSMUSE00000793392,1
ENSMUSE00000756578,2
ENSMUSE00001271732,11
ENSMUSE00000795061,2
ENSMUSE00001324947,1
ENSMUSE00001205128,8
ENSMUSE00001330102,0
ENSMUSE00001321568,0
ENSMUSE00001314949,0
ENSMUSE00000898546,0
ENSMUSE00000665238,3
ENSMUSE00001383754,2
ENSMUSE00001326125,0
ENSMUSE00000713575,1209
ENSMUSE00001244247,1193
ENSMUSE00001303710,374
ENSMUSE00000785882,5
ENSMUSE00000844934,5
ENSMUSE00000829039,370
ENSMUSE00001217671,993
ENSMUSE00001210249,291
ENSMUSE00001298846,609
ENSMUSE00001288761,115
ENSMUSE00001301941,526
ENSMUSE00000748274,266
ENSMUSE00001307144,206
ENSMUSE00001245423,157
ENSMUSE00001291709,317
ENSMUSE00001331364,0
ENSMUSE00000522417,0
ENSMUSE00000500965,274
ENSMUSE00001320237,274
ENSMUSE00000155744,200
ENSMUSE00000881108,26
ENSMUSE00000377405,66
ENSMUSE00001104759,0
ENSMUSE00001325138,2
ENSMUSE00001338586,6
ENSMUSE00000836511,154
ENSMUSE00000300057,112
ENSMUSE00001322370,9
ENSMUSE00000838340,18
ENSMUSE00000831511,107
ENSMUSE00001320208,7
ENSMUSE00000155740,120
ENSMUSE00000961240,52
ENSMUSE00001295393,22
ENSMUSE00001300249,91
