name,KO_0h_rep1_dupr_R,KO_0h_rep2_dupr_R,KO_0h_rep3_dupr_R,KO_24h_rep1_dupr_R,KO_24h_rep2_dupr_R,KO_24h_rep3_dupr_R,KO_48h_rep1_dupr_R,KO_48h_rep2_dupr_R,KO_48h_rep3_dupr_R,KO_6h_rep1_dupr_R,KO_6h_rep2_dupr_R,WT_0h_rep1_dupr_R,WT_0h_rep2_dupr_R,WT_0h_rep3_dupr_R,WT_24h_rep1_dupr_R,WT_24h_rep2_dupr_R,WT_24h_rep3_dupr_R,WT_48h_rep1_dupr_R,WT_48h_rep2_dupr_R,WT_48h_rep3_dupr_R,WT_6h_rep1_dupr_R,WT_6h_rep2_dupr_R,WT_6h_rep3_dupr_R
ENSMUSE00000145756,1,7,5,1,1,1,0,0,1,4,4,7,5,7,1,1,1,4,2,0,1,2,2
ENSMUSE00000145916,15,3,1,3,5,5,8,3,0,16,6,10,6,5,1,1,4,0,2,3,25,5,0
ENSMUSE00000146391,13,10,3,4,5,1,11,4,0,3,0,10,28,12,0,4,2,5,3,3,1,8,4
ENSMUSE00000146864,17,1,2,7,3,2,10,1,1,23,8,11,3,4,2,2,4,9,3,0,37,3,4
ENSMUSE00000148917,15,4,2,1,9,2,4,2,4,1,1,5,7,3,2,3,0,2,3,1,5,2,2
ENSMUSE00000150056,5,11,15,4,33,7,36,23,17,12,1,19,11,17,5,3,10,15,23,14,3,3,1
ENSMUSE00000150107,1248,1981,1251,192,136,119,773,416,267,429,12,1873,1542,1565,90,53,63,166,107,94,126,65,89
ENSMUSE00000150312,33,52,31,157,298,287,157,197,175,207,21,36,40,30,156,181,194,125,212,204,127,72,193
ENSMUSE00000150486,5,3,1,5,0,0,1,0,0,7,1,1,0,1,0,1,0,1,1,0,8,0,0
ENSMUSE00000153176,6,1,0,1,1,0,1,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0
ENSMUSE00000153485,5,6,3,3,1,2,4,1,1,2,0,3,2,0,0,1,1,0,0,0,5,0,0
ENSMUSE00000153722,15,2,13,4,1,0,3,0,1,1,0,11,1,11,2,0,1,4,2,0,1,6,1
ENSMUSE00000154567,6,2,3,1,3,6,8,1,3,19,6,5,3,6,1,0,2,0,5,1,17,1,3
ENSMUSE00000154717,53,7,3,13,6,0,19,3,0,62,25,34,2,6,1,0,2,5,0,1,108,4,6
ENSMUSE00000154976,4,2,0,1,0,0,1,0,0,2,2,4,1,0,0,0,1,2,1,0,6,1,2
ENSMUSE00000155422,8,0,0,3,3,0,12,1,0,10,0,13,4,2,1,1,0,6,0,1,22,0,0
ENSMUSE00000155452,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
ENSMUSE00000155843,64,14,10,33,9,6,53,6,1,110,24,57,6,12,5,2,3,23,2,6,156,12,12
ENSMUSE00000155855,12,5,11,1,1,2,5,3,0,2,0,5,3,1,0,2,1,2,5,2,5,1,9
ENSMUSE00000156500,9,6,1,2,8,4,7,4,1,6,2,3,1,10,2,3,7,4,4,1,8,3,8
