gs_name,gene_symbol
WTvsKO_48h_up,Ydjc
WTvsKO_48h_up,Cd80
WTvsKO_48h_up,B4galt4
WTvsKO_48h_up,Pros1
WTvsKO_48h_up,Zdhhc14
WTvsKO_48h_up,Agpat4
WTvsKO_48h_up,Rab26os
WTvsKO_48h_up,Pim1
WTvsKO_48h_up,Tnfrsf21
WTvsKO_48h_up,Treml2
WTvsKO_48h_up,Crim1
WTvsKO_48h_up,Rhoq
WTvsKO_48h_up,AC154492.2
WTvsKO_48h_up,Jcad
WTvsKO_48h_up,Ttc39c
WTvsKO_48h_up,AC121821.1
WTvsKO_48h_up,Apcdd1
WTvsKO_48h_up,Pcx
WTvsKO_48h_up,Slc29a2
WTvsKO_48h_up,Fosl1
WTvsKO_48h_up,Rcor2
WTvsKO_48h_up,Gm25855
WTvsKO_48h_up,Gm23246
WTvsKO_48h_up,Vldlr
WTvsKO_48h_up,Foxp3
WTvsKO_48h_up,Gm4907
WTvsKO_48h_up,Lonrf3
WTvsKO_48h_up,Sh2d1a
WTvsKO_48h_up,Armcx4
WTvsKO_48h_up,Arhgap6
WTvsKO_48h_up,Slc39a10
WTvsKO_48h_up,Gm17767
WTvsKO_48h_up,Klf7
WTvsKO_48h_up,Abcb6
WTvsKO_48h_up,Dock10
WTvsKO_48h_up,Ncl
WTvsKO_48h_up,mmu-mir-3535
WTvsKO_48h_up,Gm24148
WTvsKO_48h_up,Tmem163
WTvsKO_48h_up,Dyrk3
WTvsKO_48h_up,Atp2b4
WTvsKO_48h_up,Nav1
WTvsKO_48h_up,Rgs1
WTvsKO_48h_up,Lamc1
WTvsKO_48h_up,Gm38009
WTvsKO_48h_up,Mpzl1
WTvsKO_48h_up,Slamf7
WTvsKO_48h_up,Enah
WTvsKO_48h_up,Atf3
WTvsKO_48h_up,Nr6a1
WTvsKO_48h_up,Neb
WTvsKO_48h_up,Cytip
WTvsKO_48h_up,Galnt3
WTvsKO_48h_up,Ptprj
WTvsKO_48h_up,Eif2s2
WTvsKO_48h_up,Tgm2
WTvsKO_48h_up,Lama5
WTvsKO_48h_up,Phc3
WTvsKO_48h_up,Slc7a11
WTvsKO_48h_up,Fnip2
WTvsKO_48h_up,Trim46
WTvsKO_48h_up,Hax1
WTvsKO_48h_up,Anxa9
WTvsKO_48h_up,Ptgfrn
WTvsKO_48h_up,Msh4
WTvsKO_48h_up,Rabggtb
WTvsKO_48h_up,Cth
WTvsKO_48h_up,Asph
WTvsKO_48h_up,C9orf72
WTvsKO_48h_up,Sigmar1
WTvsKO_48h_up,Coro2a
WTvsKO_48h_up,Susd1
WTvsKO_48h_up,Tle1
WTvsKO_48h_up,Rnf11
WTvsKO_48h_up,Gm26330
WTvsKO_48h_up,Mfsd2a
WTvsKO_48h_up,Sesn2
WTvsKO_48h_up,Gm12981
WTvsKO_48h_up,Rcan3
WTvsKO_48h_up,Ephb2
WTvsKO_48h_up,Tnfrsf8
WTvsKO_48h_up,Gm16008
WTvsKO_48h_up,Gm17590
WTvsKO_48h_up,Cldn12
WTvsKO_48h_up,Pus7
WTvsKO_48h_up,Tec
WTvsKO_48h_up,Gm43499
WTvsKO_48h_up,Tgfbr3
WTvsKO_48h_up,Evi5
WTvsKO_48h_up,Asns
WTvsKO_48h_up,Gm15473
WTvsKO_48h_up,Impdh1
WTvsKO_48h_up,Gm27019
WTvsKO_48h_up,Lncpint
WTvsKO_48h_up,5330406M23Rik
WTvsKO_48h_up,Hipk2
WTvsKO_48h_up,Rbpj-ps3
WTvsKO_48h_up,Hk2
WTvsKO_48h_up,Frmd4b
WTvsKO_48h_up,Gm20705
WTvsKO_48h_up,Eif4e3
WTvsKO_48h_up,Gm44104
WTvsKO_48h_up,Tulp3
WTvsKO_48h_up,BC035044
WTvsKO_48h_up,Ybx3
WTvsKO_48h_up,Eps8
WTvsKO_48h_up,Zbtb32
WTvsKO_48h_up,Slco3a1
WTvsKO_48h_up,Ntrk3
WTvsKO_48h_up,Fes
WTvsKO_48h_up,Furin
WTvsKO_48h_up,Abhd17c
WTvsKO_48h_up,Capn5
