name,KO_0h_rep1_dupr_F,KO_0h_rep2_dupr_F,KO_0h_rep3_dupr_F,KO_24h_rep1_dupr_F,KO_24h_rep2_dupr_F,KO_24h_rep3_dupr_F,KO_48h_rep1_dupr_F,KO_48h_rep2_dupr_F,KO_48h_rep3_dupr_F,KO_6h_rep1_dupr_F,KO_6h_rep2_dupr_F,WT_0h_rep1_dupr_F,WT_0h_rep2_dupr_F,WT_0h_rep3_dupr_F,WT_24h_rep1_dupr_F,WT_24h_rep2_dupr_F,WT_24h_rep3_dupr_F,WT_48h_rep1_dupr_F,WT_48h_rep2_dupr_F,WT_48h_rep3_dupr_F,WT_6h_rep1_dupr_F,WT_6h_rep2_dupr_F,WT_6h_rep3_dupr_F
ENSMUSE00000694801,556,108,115,112,289,272,507,542,213,310,41,912,90,195,130,98,157,391,599,352,167,97,174
ENSMUSE00000694865,2,1,0,1,0,4,4,0,0,6,0,2,1,0,0,1,1,1,3,2,2,1,3
ENSMUSE00000694866,90,82,71,81,123,81,86,70,65,140,28,97,86,104,78,117,117,68,99,81,110,75,125
ENSMUSE00000695110,9,1,0,3,3,2,3,0,1,9,0,6,2,3,1,2,1,3,0,0,15,2,3
ENSMUSE00000695195,1,0,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,12,0,0
ENSMUSE00000695244,7,3,0,4,2,1,4,1,0,8,1,5,1,1,0,0,0,1,0,0,21,2,1
ENSMUSE00000695276,26,3,2,9,0,0,4,1,0,20,3,20,5,3,1,0,0,7,1,0,43,8,4
ENSMUSE00000695297,30,3,0,7,2,0,9,2,1,16,5,12,0,2,1,1,0,2,1,0,55,2,3
ENSMUSE00000695310,20,0,4,2,4,0,14,0,1,23,12,10,0,3,2,1,1,1,1,1,45,1,3
ENSMUSE00000695394,132,165,150,85,182,138,259,198,140,341,44,127,126,110,75,85,87,102,141,87,237,153,182
ENSMUSE00000695401,6,2,0,1,0,0,4,0,0,8,3,7,0,0,1,0,0,0,0,0,17,4,1
ENSMUSE00000695556,18,3,0,5,2,0,5,0,1,14,6,3,1,3,0,0,0,4,2,0,40,4,3
ENSMUSE00000695575,22,0,3,12,3,2,18,1,1,32,6,11,1,2,3,2,1,2,0,0,28,6,2
ENSMUSE00000695797,4,0,1,0,0,1,1,0,0,7,5,3,0,0,2,1,0,3,2,2,19,2,3
ENSMUSE00000695858,22,16,20,5,11,4,8,8,8,11,3,25,18,15,7,3,2,5,7,12,4,7,4
ENSMUSE00000696089,65,80,55,2,8,11,15,21,7,18,12,54,61,48,8,3,8,9,6,7,22,4,24
ENSMUSE00000696168,5,1,0,0,0,2,2,0,0,7,0,2,0,0,0,0,1,1,1,0,6,1,0
ENSMUSE00000696230,40,4,2,23,6,3,30,1,5,36,21,24,2,7,5,3,4,16,4,4,87,0,3
ENSMUSE00000696304,8,6,1,10,20,3,10,11,17,25,0,12,3,5,3,4,8,17,18,8,18,8,8
ENSMUSE00000696363,11,1,1,10,2,0,8,0,1,25,7,10,2,0,2,1,0,1,3,0,16,2,4
ENSMUSE00000696721,6,4,5,10,21,12,7,5,2,48,11,4,3,3,20,7,6,2,9,10,22,27,48
ENSMUSE00000696855,6,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ENSMUSE00000696892,10,8,1,0,0,2,0,1,1,1,0,20,39,4,0,0,0,0,1,1,1,0,2
ENSMUSE00000696967,5,0,0,0,0,0,4,0,0,12,1,4,1,1,1,0,1,1,0,0,10,0,2
ENSMUSE00000697013,2,3,0,2,4,5,0,7,1,2,1,0,0,1,7,1,2,1,2,3,2,4,4
ENSMUSE00000697210,31,4,0,12,4,0,13,1,0,37,13,6,1,8,0,1,0,8,3,0,32,3,5
ENSMUSE00000697264,10,1,0,3,3,0,1,0,0,10,6,10,2,3,0,0,0,3,1,0,22,0,2
ENSMUSE00000697500,1,1,2,1,2,2,4,2,2,9,0,1,1,1,1,0,0,2,3,1,6,0,1
ENSMUSE00000697547,111,18,15,28,15,8,53,15,6,104,63,138,22,30,14,9,2,31,29,8,431,27,22
ENSMUSE00000697584,36,13,6,19,9,6,19,1,0,57,26,64,6,17,6,1,2,17,2,3,210,10,12
ENSMUSE00000697761,2,0,2,2,0,1,0,0,1,3,3,18,1,2,0,1,1,5,0,2,16,1,0
ENSMUSE00000697932,1,1,0,1,1,0,1,0,0,4,0,6,0,1,0,0,1,1,2,1,9,3,3
ENSMUSE00000697964,19,1,1,3,2,1,11,0,0,28,15,18,2,7,0,1,0,12,1,0,41,2,4
ENSMUSE00000698088,5,2,0,1,1,0,8,0,0,13,1,4,0,3,0,0,0,2,0,1,3,2,0
ENSMUSE00000698098,77,79,35,10,6,2,5,9,11,45,13,128,80,29,10,2,3,3,16,16,19,13,19
ENSMUSE00000698111,20,33,6,23,43,31,20,19,10,79,26,33,16,3,18,11,27,28,50,44,60,69,89
ENSMUSE00000698143,10,0,2,11,2,0,9,1,0,26,3,10,1,2,0,1,0,7,1,0,53,3,2
ENSMUSE00000698236,7,4,3,0,1,0,12,5,1,2,0,4,9,1,1,0,0,1,2,2,2,1,1
ENSMUSE00000698251,109,4,6,28,6,3,41,0,2,145,33,72,10,16,4,7,6,19,1,1,177,16,19
ENSMUSE00000698308,49,5,1,7,8,4,16,4,1,53,3,24,2,7,2,3,1,5,3,1,89,10,2
ENSMUSE00000698321,4,4,0,2,1,1,1,1,7,11,5,7,0,5,0,0,0,4,2,0,10,0,0
ENSMUSE00000698483,57,114,14,76,113,73,70,69,44,178,41,68,113,21,77,43,62,72,68,53,141,149,162
ENSMUSE00000698599,2,3,3,0,0,0,2,0,2,11,2,4,0,5,3,2,1,3,3,2,7,5,5
ENSMUSE00000698842,116,15,102,44,59,36,116,110,76,30,9,199,11,88,26,15,27,98,99,76,41,9,15
ENSMUSE00000698909,73,44,22,40,66,50,51,122,72,80,8,87,23,35,86,68,99,84,144,157,126,69,116
ENSMUSE00000698942,4,1,0,2,0,3,2,0,0,2,2,6,0,1,0,1,0,3,0,1,14,1,1
ENSMUSE00000698952,14,4,10,5,3,1,9,4,3,9,6,15,6,8,4,0,0,3,1,0,37,5,0
ENSMUSE00000699031,1,0,0,8,15,12,7,16,12,5,4,5,1,0,17,10,19,7,7,17,7,5,1
ENSMUSE00000699114,5,4,10,24,79,46,30,42,18,33,0,11,1,3,35,59,25,20,44,20,14,14,16
ENSMUSE00000699117,13,4,0,7,0,1,13,2,0,36,6,5,3,5,0,0,0,6,0,4,36,11,2
ENSMUSE00000699436,7,13,0,1,24,20,17,24,19,3,1,8,0,0,14,9,5,21,17,15,1,2,5
ENSMUSE00000699448,7,3,1,2,0,0,2,0,0,12,3,8,0,2,0,0,2,4,0,0,17,1,1
ENSMUSE00000699888,6,2,10,1,4,2,4,5,0,3,0,13,8,8,0,2,2,1,1,2,4,3,3
ENSMUSE00000700122,79,76,30,5,14,27,38,51,39,55,7,71,111,25,6,5,3,78,101,44,81,29,32
ENSMUSE00000700210,85,76,95,58,98,105,178,183,84,177,15,125,44,121,76,79,93,196,166,187,116,40,145
ENSMUSE00000700258,7,2,1,2,1,2,6,0,3,6,4,3,1,4,0,1,1,3,1,1,15,0,2
ENSMUSE00000700581,290,188,143,142,258,138,191,186,89,309,60,352,113,127,139,136,126,164,183,140,272,188,253
ENSMUSE00000700740,2348,1072,1291,27,77,68,51,41,26,198,41,2319,647,1119,21,29,34,36,60,33,177,78,126
ENSMUSE00000700837,49,7,3,27,5,2,42,8,0,74,20,26,2,8,0,2,0,11,3,0,94,11,5
ENSMUSE00000700929,162,68,87,7,21,24,69,33,5,32,5,549,74,176,18,10,8,44,23,29,70,18,14
ENSMUSE00000700932,16,12,9,15,3,8,22,15,12,13,1,12,2,5,1,7,2,8,11,8,6,1,9
ENSMUSE00000701037,20,3,0,2,2,0,8,0,0,15,8,11,0,3,0,0,2,5,1,0,16,5,0
ENSMUSE00000701107,13,5,2,3,0,2,17,3,0,24,11,14,0,8,1,0,2,3,7,0,48,5,4
ENSMUSE00000701146,4,4,0,6,5,2,7,1,1,14,5,7,1,3,0,0,1,2,7,0,33,2,4
ENSMUSE00000701263,2,3,1,4,5,1,7,3,1,4,1,5,3,1,2,1,0,4,4,1,4,4,2
ENSMUSE00000701335,31,3,1,19,5,3,30,2,5,45,15,12,6,11,4,2,1,18,3,6,50,7,5
ENSMUSE00000701354,1,2,0,0,0,0,3,3,1,0,0,1,1,0,0,0,0,9,8,2,0,0,0
ENSMUSE00000701768,126,152,104,50,92,64,201,185,104,177,15,295,100,149,55,44,72,125,169,83,111,59,84
ENSMUSE00000701781,11,2,0,4,1,0,3,0,1,16,11,9,4,6,3,1,3,6,0,1,42,1,2
ENSMUSE00000701902,3,1,0,0,1,0,0,0,1,7,1,2,1,1,1,0,0,0,0,0,6,0,0
ENSMUSE00000702133,15,5,3,6,1,3,7,12,1,14,8,13,3,7,2,2,5,13,19,9,34,4,2
ENSMUSE00000702199,12,2,1,10,13,6,12,10,11,26,3,4,3,0,9,2,1,2,4,8,13,2,2
ENSMUSE00000702248,12,2,2,4,0,0,4,0,0,29,1,4,2,1,1,2,0,1,3,0,30,1,0
ENSMUSE00000702275,25,1,1,2,1,1,5,0,0,24,4,10,0,1,2,2,0,5,1,0,52,1,0
ENSMUSE00000702372,6,5,1,3,1,1,11,1,1,4,2,7,3,5,2,3,2,3,0,1,7,0,2
ENSMUSE00000702425,7,18,3,9,11,13,19,21,14,42,7,9,11,5,1,4,2,11,20,14,22,12,20
ENSMUSE00000702478,2,0,0,1,0,0,0,1,0,1,0,0,1,3,0,0,0,1,0,1,12,0,0
ENSMUSE00000702543,4,5,5,3,8,5,2,7,2,8,2,5,3,7,2,11,4,6,4,1,4,2,4
ENSMUSE00000702705,3,0,0,1,1,1,0,0,0,7,9,3,1,0,0,0,0,2,0,0,1,0,1
ENSMUSE00000702730,1,0,0,5,1,1,2,0,0,7,0,4,0,0,0,1,0,0,2,0,9,0,2
ENSMUSE00000702783,40,4,1,11,3,4,26,3,4,41,21,67,7,12,7,1,2,14,7,2,239,10,6
ENSMUSE00000702895,0,0,0,1,1,1,2,0,0,10,0,2,0,1,0,1,0,1,2,3,3,1,1
ENSMUSE00000703041,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,8,0,0
ENSMUSE00000703062,13,11,8,9,12,8,10,3,2,37,5,33,2,9,11,6,6,9,25,12,20,5,25
ENSMUSE00000703172,16,12,3,6,5,5,20,12,2,8,1,20,3,0,2,7,2,11,5,8,10,5,1
ENSMUSE00000703281,14,2,1,5,1,1,2,0,0,24,4,3,1,0,3,1,1,4,0,0,27,1,5
ENSMUSE00000703302,26,0,0,4,1,0,9,1,0,15,6,8,1,1,1,2,0,4,2,4,29,1,0
ENSMUSE00000703314,55,4,2,24,3,2,51,2,1,115,34,42,12,15,4,1,6,17,3,1,157,14,9
ENSMUSE00000703325,3,0,0,6,0,0,2,2,0,3,1,3,0,0,0,0,0,0,1,0,7,1,1
ENSMUSE00000703355,4,3,6,1,3,1,2,2,1,2,2,3,4,1,1,0,0,0,0,0,5,5,6
ENSMUSE00000703361,1,0,0,2,12,7,14,6,2,2,1,1,0,0,2,4,12,10,8,8,1,1,1
ENSMUSE00000703412,1,1,0,3,7,2,3,4,0,3,2,3,1,2,1,0,1,2,1,0,3,0,1
ENSMUSE00000703480,201,21,5,55,11,6,88,7,2,282,89,110,24,55,11,4,6,38,6,1,437,41,37
ENSMUSE00000703575,0,1,0,2,3,9,2,8,2,8,0,0,2,0,5,3,6,2,3,6,11,0,7
ENSMUSE00000703708,5,1,0,5,0,1,7,0,0,16,6,1,0,2,0,0,0,1,0,0,23,1,0
ENSMUSE00000703771,20,2,1,4,2,1,8,0,0,18,5,4,2,2,1,2,1,3,0,0,20,1,6
ENSMUSE00000703802,84,65,71,6,13,16,35,42,15,24,4,89,19,98,7,7,10,47,90,39,23,4,6
ENSMUSE00000703935,29,18,13,12,23,6,12,32,20,48,3,33,21,23,9,4,16,14,21,8,26,9,18
ENSMUSE00000704006,13,2,2,9,4,1,4,5,2,21,7,9,1,1,1,0,2,7,0,0,24,2,4
ENSMUSE00000704025,13,1,1,2,1,0,6,0,0,13,1,2,1,4,0,0,1,1,0,0,16,1,1
ENSMUSE00000704045,2,1,0,1,1,0,2,0,0,9,0,7,0,0,1,1,0,0,0,0,25,1,0
ENSMUSE00000704068,190,100,108,32,39,36,49,55,34,518,189,174,61,149,30,28,34,42,41,26,402,430,351
ENSMUSE00000704215,8,2,0,5,2,0,6,1,3,20,2,7,2,5,1,2,3,9,1,2,29,1,0
ENSMUSE00000704234,33,5,6,12,1,0,18,4,0,62,8,33,4,14,1,2,1,13,7,6,47,3,6
ENSMUSE00000704329,6,2,0,4,0,0,1,0,1,10,4,0,1,0,0,0,0,0,0,0,8,2,1
ENSMUSE00000704390,34,7,10,16,7,2,17,6,4,33,17,21,5,15,2,6,3,5,18,7,58,8,17
ENSMUSE00000704452,12,2,3,2,0,0,2,0,0,11,4,13,3,4,2,1,0,2,0,0,42,1,1
ENSMUSE00000704460,240,210,38,141,289,163,228,263,138,430,60,256,104,106,133,138,144,125,262,154,263,144,271
ENSMUSE00000704464,6,0,4,0,0,0,1,0,0,5,0,11,6,1,1,0,0,0,0,0,0,1,0
ENSMUSE00000705203,37,20,20,6,31,18,38,32,18,17,1,51,6,20,12,3,13,26,47,26,17,8,10
ENSMUSE00000705239,207,200,93,40,64,45,75,82,85,81,57,253,231,129,66,50,59,76,93,53,66,74,73
ENSMUSE00000705246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ENSMUSE00000705296,3,3,3,1,3,3,3,5,1,4,4,11,5,2,6,4,1,2,2,4,2,5,6
ENSMUSE00000705304,3,2,0,12,19,20,8,5,3,44,4,8,2,0,19,5,18,3,2,4,27,23,26
ENSMUSE00000705458,1,10,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1
ENSMUSE00000705756,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,8,0,2,1,0
ENSMUSE00000706167,10,2,1,3,3,4,3,0,0,18,3,5,2,0,0,0,0,0,2,0,6,1,2
ENSMUSE00000706360,2,0,0,0,0,0,0,0,1,2,1,3,0,1,0,0,0,0,0,0,8,1,0
ENSMUSE00000706364,0,2,0,4,4,0,3,9,3,5,5,1,1,0,4,2,2,6,9,6,6,3,2
ENSMUSE00000706559,17,3,9,2,5,5,13,15,5,11,0,11,0,4,5,1,4,11,14,11,9,0,2
ENSMUSE00000706739,11,6,2,12,5,4,2,6,4,39,6,11,2,5,1,0,2,2,12,3,30,22,33
ENSMUSE00000706788,0,0,2,1,0,0,0,3,1,0,0,6,0,1,1,1,0,1,0,1,1,2,0
ENSMUSE00000706830,13,8,6,4,15,4,9,14,11,15,0,10,16,21,5,6,10,19,20,24,6,6,4
ENSMUSE00000706958,2,1,0,3,4,3,2,0,1,2,0,1,0,0,1,1,8,1,0,1,0,1,1
ENSMUSE00000707116,25,26,25,86,179,156,126,199,56,883,121,35,8,32,115,62,130,202,314,177,695,487,847
ENSMUSE00000707326,15,4,0,11,1,1,10,0,0,32,8,13,1,4,2,1,0,6,0,0,36,2,6
ENSMUSE00000707350,4,2,0,1,0,1,1,5,4,1,1,2,1,2,0,0,1,2,2,1,7,2,2
ENSMUSE00000707720,1,0,1,0,3,1,0,2,2,7,0,0,0,0,0,0,0,0,3,2,1,1,4
ENSMUSE00000707825,13,1,8,3,15,10,6,14,8,23,1,7,1,6,3,5,13,10,19,8,10,5,17
ENSMUSE00000707946,2,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,7,0,0
ENSMUSE00000707953,25,7,13,5,24,10,39,61,27,22,3,39,3,9,10,6,5,42,56,35,22,12,25
ENSMUSE00000707994,29,35,34,31,57,36,15,21,28,98,13,29,37,44,32,39,43,17,30,34,78,69,119
ENSMUSE00000708122,14,7,2,10,47,25,31,30,12,31,3,18,1,11,13,24,23,47,68,36,21,5,11
ENSMUSE00000708251,0,0,0,0,5,4,15,19,6,0,0,0,0,1,0,0,1,9,9,5,0,0,0
ENSMUSE00000708278,19,10,1,4,5,5,25,21,10,8,0,26,3,0,2,5,3,20,11,13,6,4,5
ENSMUSE00000708328,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0
ENSMUSE00000708344,5,1,6,10,17,14,19,19,9,23,1,7,1,0,5,8,16,19,17,9,5,3,5
ENSMUSE00000708407,37,35,30,10,2,10,18,12,9,3,1,47,18,63,1,1,11,6,9,8,3,2,6
ENSMUSE00000708412,7,1,1,4,2,0,2,1,0,13,0,1,0,3,1,0,0,6,0,0,17,1,1
ENSMUSE00000708425,0,1,0,3,2,1,5,4,5,4,0,0,0,0,0,1,4,0,9,7,1,0,0
ENSMUSE00000708459,0,1,0,0,1,0,0,3,1,1,1,1,0,2,0,0,0,9,12,1,6,0,1
ENSMUSE00000708485,18,1,11,4,16,13,32,16,9,5,6,26,2,7,10,7,5,35,27,15,1,2,0
ENSMUSE00000708583,2,0,1,3,0,0,1,0,0,7,0,0,0,1,2,0,0,1,0,0,7,1,1
ENSMUSE00000708603,49,17,14,8,3,8,23,21,12,9,1,92,7,19,9,4,9,14,28,12,5,5,9
ENSMUSE00000708723,33,39,47,15,34,31,51,51,29,29,9,48,36,30,11,12,24,30,38,27,16,9,10
ENSMUSE00000708751,0,0,0,3,1,2,1,7,2,5,0,0,0,0,2,2,3,4,4,4,5,1,2
ENSMUSE00000708788,4,1,0,2,2,1,2,1,0,5,0,2,1,0,0,0,1,0,1,0,6,1,2
ENSMUSE00000708845,132,55,30,43,71,52,155,109,67,151,16,158,24,52,16,14,32,99,110,62,40,34,33
ENSMUSE00000708852,8,5,3,0,0,0,0,0,1,1,0,2,3,4,0,0,0,0,0,0,0,0,0
ENSMUSE00000708868,3,1,0,2,1,0,1,0,1,3,0,7,1,2,0,0,0,1,0,0,11,1,0
ENSMUSE00000708921,68,17,30,20,51,40,84,77,45,35,9,150,15,30,19,13,18,80,87,61,33,18,23
ENSMUSE00000708925,20,8,9,8,4,5,19,15,3,6,0,37,5,10,5,7,4,21,10,8,4,2,5
ENSMUSE00000708949,12,8,4,6,12,7,24,16,6,14,1,12,1,3,7,5,4,12,10,19,5,1,3
ENSMUSE00000709191,10,1,0,2,1,0,2,1,0,7,3,6,1,1,0,0,0,0,1,1,11,1,1
ENSMUSE00000709238,4,6,6,1,0,2,0,1,1,0,0,6,13,1,1,0,0,1,1,0,5,5,0
ENSMUSE00000709309,14,0,3,4,1,1,4,0,0,2,3,4,1,0,3,0,0,0,0,0,43,0,0
ENSMUSE00000709348,9,4,1,8,1,3,18,7,2,15,2,10,3,6,0,2,2,6,10,2,23,4,6
ENSMUSE00000709399,9,1,3,1,11,7,10,34,12,15,0,15,3,1,4,8,2,21,38,13,8,1,8
ENSMUSE00000709410,12,5,1,3,0,0,3,3,2,10,0,10,1,3,0,0,0,3,0,2,28,3,0
ENSMUSE00000709422,36,26,9,14,17,11,25,37,17,23,5,52,20,7,3,5,10,29,32,20,12,13,20
ENSMUSE00000709444,146,124,181,92,204,155,149,135,102,155,74,198,121,238,116,95,101,112,132,111,180,95,219
ENSMUSE00000709464,6,5,2,1,2,0,4,0,0,12,2,11,8,5,1,0,1,2,2,2,1,3,3
ENSMUSE00000709482,1,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSE00000709547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
ENSMUSE00000709557,2,0,0,1,8,5,3,13,1,4,4,8,0,0,0,1,3,4,3,3,6,1,7
ENSMUSE00000709714,21,7,4,19,24,16,26,25,13,50,3,20,8,4,14,15,30,42,28,29,23,27,28
ENSMUSE00000709828,12,5,5,3,3,10,19,25,12,3,0,11,1,2,5,6,2,19,16,15,1,1,2
ENSMUSE00000709833,49,35,15,0,1,0,5,1,2,1,0,30,14,24,0,0,0,0,2,0,1,0,0
ENSMUSE00000709969,6,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSE00000710097,6,6,0,0,1,1,1,0,0,0,0,2,1,2,0,2,3,1,1,3,2,1,3
ENSMUSE00000710442,1,1,0,1,0,0,0,0,0,2,0,3,3,1,0,0,1,1,0,0,10,0,1
ENSMUSE00000710459,5,2,1,2,0,3,4,3,0,14,10,4,1,4,1,0,0,4,1,0,16,3,3
ENSMUSE00000710482,19,12,6,5,9,4,6,8,7,12,0,15,1,8,2,3,7,4,17,7,2,4,10
ENSMUSE00000710501,9,2,9,14,29,13,28,25,18,16,3,16,1,8,9,18,14,25,30,33,23,18,16
ENSMUSE00000710546,4,0,0,1,0,0,1,1,1,0,1,16,0,1,0,1,1,2,8,7,1,1,1
ENSMUSE00000710614,2,7,2,0,2,3,1,1,0,0,1,8,2,4,1,5,0,0,0,0,0,0,0
ENSMUSE00000710657,4,10,8,0,6,9,0,13,1,3,1,3,3,2,2,0,4,1,1,6,8,4,5
ENSMUSE00000710700,5,1,0,1,0,0,2,0,1,3,1,4,1,2,0,0,1,0,0,0,12,1,1
ENSMUSE00000710788,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0
ENSMUSE00000710855,18,17,5,13,34,21,30,36,13,37,2,38,2,7,6,7,13,25,18,23,13,7,18
ENSMUSE00000711054,7,4,10,1,0,1,0,1,0,0,0,12,1,1,3,1,0,1,1,1,2,1,0
ENSMUSE00000711071,26,18,30,3,7,4,23,15,6,19,1,46,5,26,8,7,8,18,22,14,9,5,7
ENSMUSE00000711082,67,32,63,28,26,35,93,92,42,70,8,33,14,23,18,22,21,51,39,45,57,26,63
ENSMUSE00000711108,2,4,0,5,1,8,3,3,1,14,1,3,2,3,2,0,1,4,12,9,8,5,8
ENSMUSE00000711112,24,4,6,12,10,17,15,18,8,8,5,47,5,5,7,10,13,20,10,19,5,7,8
ENSMUSE00000711232,104,44,23,30,58,45,136,99,61,44,4,82,17,36,14,15,37,42,85,69,22,18,32
ENSMUSE00000711248,6,12,1,6,5,7,12,11,3,35,6,1,5,0,13,10,11,1,16,14,29,8,23
ENSMUSE00000711286,1,1,0,0,1,0,0,4,0,1,1,1,2,0,5,0,0,6,4,0,3,0,1
ENSMUSE00000711332,9,0,0,4,3,0,4,0,0,4,1,3,2,2,0,0,0,1,0,0,17,3,0
ENSMUSE00000711370,9,3,0,1,0,0,8,0,2,13,5,4,0,2,0,0,3,3,3,0,28,3,0
ENSMUSE00000711512,15,0,13,12,17,6,18,14,8,14,2,5,4,7,1,4,11,22,29,33,13,10,8
ENSMUSE00000711524,1,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,6,0,0
ENSMUSE00000711531,4,4,0,6,15,7,10,12,7,10,2,2,0,1,8,0,6,7,12,10,5,8,5
ENSMUSE00000711554,104,41,57,14,35,26,33,62,15,62,3,98,33,53,17,10,40,12,35,35,55,34,39
ENSMUSE00000711739,115,54,81,65,107,87,106,80,68,182,26,176,55,94,72,43,91,54,115,65,178,100,150
ENSMUSE00000711763,58,17,64,9,21,19,39,38,28,28,8,84,17,27,13,7,18,67,63,57,7,15,15
ENSMUSE00000711784,267,151,272,57,146,153,136,158,113,279,60,299,104,282,84,70,119,149,234,189,218,160,262
ENSMUSE00000711809,16,10,0,0,1,5,16,10,6,3,1,26,1,2,1,1,0,2,10,9,3,1,2
ENSMUSE00000711823,39,6,1,9,2,2,6,3,1,29,14,25,5,4,1,1,2,9,9,2,49,7,4
ENSMUSE00000711836,2,6,2,0,1,0,3,1,2,0,0,11,3,10,1,0,1,0,0,0,0,0,0
ENSMUSE00000711882,2,1,1,1,0,0,4,0,0,1,1,1,1,2,0,0,0,1,0,0,10,1,1
ENSMUSE00000711922,0,0,1,2,13,13,11,19,11,1,0,0,0,0,4,8,2,9,15,13,0,0,0
ENSMUSE00000711928,4,2,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,1,0,0,6,0,2
ENSMUSE00000711958,3,3,0,0,0,2,2,7,1,2,0,2,0,2,0,1,0,1,2,1,1,0,0
ENSMUSE00000711969,1,3,2,0,7,2,1,3,1,5,0,4,1,1,2,1,0,1,3,1,2,2,2
ENSMUSE00000711975,7,1,1,0,3,3,4,7,4,5,1,9,0,1,2,0,1,6,3,2,3,2,2
ENSMUSE00000712006,28,5,12,12,22,22,34,20,15,34,2,39,12,19,15,5,16,33,27,16,22,10,28
ENSMUSE00000712090,183,189,171,86,109,115,272,242,142,173,14,266,133,193,72,56,82,169,223,173,123,94,105
ENSMUSE00000712134,8,3,5,4,11,4,3,14,1,16,0,20,1,8,3,7,7,5,18,5,7,9,8
ENSMUSE00000712289,18,5,2,9,3,4,19,11,3,25,10,17,14,6,5,2,3,17,19,4,38,8,13
ENSMUSE00000712338,10,10,12,12,19,13,16,20,12,25,3,31,3,17,6,4,3,22,21,27,17,14,12
ENSMUSE00000712454,6,0,0,1,5,2,2,2,1,1,1,0,1,0,2,0,0,0,0,2,2,0,2
ENSMUSE00000712685,19,0,8,3,12,14,22,14,5,3,1,17,0,25,0,1,1,10,10,6,1,0,4
ENSMUSE00000712698,0,0,0,2,6,4,1,4,2,5,1,0,0,0,3,7,1,1,4,1,5,0,1
ENSMUSE00000712875,938,451,1169,241,695,444,771,811,472,616,38,1544,289,1156,238,286,328,553,894,567,344,202,373
ENSMUSE00000712890,3,3,3,1,1,1,1,0,1,6,0,10,1,3,1,0,0,5,1,1,3,3,3
ENSMUSE00000712896,3101,1402,1859,1021,1756,1817,2305,1992,1190,2562,235,3362,963,1857,1087,912,1666,2162,2364,2039,1731,907,1766
ENSMUSE00000712898,4,3,2,2,0,1,3,2,0,3,1,14,3,3,0,0,1,2,10,2,3,0,1
ENSMUSE00000712979,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,11,4,6,2,0,0
ENSMUSE00000713120,18,4,9,14,32,11,33,22,19,27,2,5,4,12,10,9,15,22,20,17,14,18,14
ENSMUSE00000713197,3,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,7,0,0
ENSMUSE00000713262,14,6,6,6,17,4,11,18,14,28,2,4,1,3,11,5,7,12,31,16,13,4,13
ENSMUSE00000713267,7,7,10,12,16,15,14,9,4,28,2,13,8,4,9,4,15,12,7,8,16,11,18
ENSMUSE00000713277,78,20,48,10,20,14,35,40,16,20,2,86,25,52,8,2,12,27,46,20,9,6,6
ENSMUSE00000713348,29,11,12,1,3,1,12,13,4,4,0,39,8,13,1,4,0,6,7,6,1,1,4
ENSMUSE00000713409,2,1,0,1,0,0,2,0,0,6,1,4,0,0,0,1,1,0,0,0,8,0,0
ENSMUSE00000713575,1295,968,601,314,584,378,1110,990,542,613,18,927,242,421,274,212,271,451,397,318,362,119,418
ENSMUSE00000713577,2,1,0,3,0,0,1,0,0,5,0,2,0,0,0,0,0,1,0,0,11,0,0
ENSMUSE00000713604,7,3,2,0,0,1,2,1,4,0,0,12,7,8,1,1,0,7,0,0,3,1,1
ENSMUSE00000713627,17,3,5,3,1,0,5,0,0,19,7,9,1,1,3,0,0,4,2,2,55,2,4
ENSMUSE00000713657,0,0,9,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0
ENSMUSE00000713741,18,4,23,4,8,8,3,11,5,17,2,33,6,13,4,8,1,5,6,4,6,7,12
ENSMUSE00000713776,0,5,0,4,22,4,9,4,2,20,2,2,1,1,13,10,5,9,5,3,13,6,15
ENSMUSE00000713879,161,219,136,38,57,43,24,38,24,79,9,251,176,138,31,24,47,11,53,35,50,41,85
