# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_2_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam
Mstn	1	53061640	53068079	+	6440	1
1700019A02Rik	1	53158577	53187636	-	29060	22
Pms1	1	53189187	53297018	-	107832	99
Ormdl1	1	53297095	53310309	+	13215	86
Gm28778	1	53297111	53318035	+	20925	138
Osgepl1	1	53313624	53326343	+	12720	48
Gm28551	1	53325507	53352667	-	27161	20
Asnsd1	1	53344617	53352752	-	8136	6
Gm50478	1	53348479	53352619	-	4141	4
Dnah7a	1	53397006	53706761	-	309756	253
Stk17b	1	53755506	53785224	-	29719	25
Hecw2	1	53806876	54195034	-	388159	313
Ccdc150	1	54250683	54368727	+	118045	75
Gtf3c3	1	54396004	54438971	-	42968	33
Gm34066	1	54443404	54456763	-	13360	13
Pgap1	1	54472994	54557682	-	84689	79
Ankrd44	1	54645340	54926387	-	281048	250
Sf3b1	1	54985169	55027481	-	42313	39
Coq10b	1	55052770	55072702	+	19933	278
Hspd1	1	55077835	55088243	-	10409	18
Mob4	1	55131231	55154899	+	23669	402
Rftn2	1	55170159	55226782	-	56624	49
Mars2	1	55237177	55248470	+	11294	187
Boll	1	55248658	55363469	-	114812	185
Plcl1	1	55405921	55754285	+	348365	356
Hsfy2	1	56636044	56637435	-	1392	3
Satb2	1	56793981	56978650	-	184670	114
1700066M21Rik	1	57377620	57385423	+	7804	38
Tyw5	1	57388237	57407101	-	18865	37
Maip1	1	57406328	57417953	+	11626	101
Spats2l	1	57774162	57948394	+	174233	97
Kctd18	1	57955101	58018956	-	63856	53
Sgo2a	1	57995971	58025899	+	29929	21
Aox1	1	58029931	58106413	+	76483	48
Aox3	1	58113136	58200698	+	87563	51
Aox4	1	58210397	58268597	+	58201	23
Aox2	1	58278326	58380259	+	101934	79
Bzw1	1	58392898	58407353	+	14456	673
Clk1	1	58412000	58424066	-	12067	9
Ppil3	1	58430994	58445486	-	14493	9
Nif3l1	1	58445151	58481816	+	36666	124
Orc2	1	58462771	58505109	-	42339	28
Fam126b	1	58522806	58586323	-	63518	81
Ndufb3	1	58586384	58595964	+	9581	49
Flacc1	1	58646903	58695989	-	49087	146
Cflar	1	58711551	58758884	+	47334	5140
Casp8	1	58795374	58847503	+	52130	811
Trak2	1	58900449	58973430	-	72982	63
Stradb	1	58973522	58995715	+	22194	50
C2cd6	1	58997116	59094900	-	97785	76
Tmem237	1	59100590	59120408	-	19819	18
Mpp4	1	59120935	59163389	-	42455	26
Als2	1	59162926	59237231	-	74306	47
Cdk15	1	59256906	59352993	+	96088	68
Fzd7	1	59482424	59486955	+	4532	4
Gm973	1	59516264	59636417	+	120154	73
Sumo1	1	59639434	59670834	-	31401	24
Nop58	1	59684977	59719044	+	34068	3007
Bmpr2	1	59763400	59879014	+	115615	269
Fam117b	1	59913006	59985346	+	72341	725
Ica1l	1	59989068	60043122	-	54055	210
Wdr12	1	60069785	60098645	-	28861	24
Carf	1	60098247	60153953	+	55707	135
Nbeal1	1	60180599	60338328	+	157730	660
Cyp20a1	1	60343323	60388060	+	44738	282
Abi2	1	60409619	60481158	+	71540	260
Raph1	1	60482292	60567104	-	84813	109
Cd28	1	60746358	60773359	+	27002	202
Ctla4	1	60909025	60915832	+	6808	33
Icos	1	60977927	61000320	+	22394	163
Pard3b	1	61638824	62642284	+	1003461	683
Nrp2	1	62703285	62818695	+	115411	58
Ino80d	1	62958418	63114667	-	156250	130
Ndufs1	1	63143596	63176833	-	33238	32
Eef1b2	1	63176825	63180486	+	3662	771
Gpr1	1	63182691	63214543	-	31853	44
Zdbf2	1	63273265	63314576	+	41312	28
Adam23	1	63445895	63596276	+	150382	94
Gm39653	1	63615968	63620819	+	4852	5
Dytn	1	63622851	63686927	-	64077	59
Mdh1b	1	63698819	63730318	-	31500	30
Fastkd2	1	63730614	63754655	+	24042	410
4933402D24Rik	1	63754907	63769267	-	14361	29
Klf7	1	64029447	64122282	-	92836	69
Creb1	1	64532645	64604548	+	71904	1045
Mettl21a	1	64606473	64617242	-	10770	38
Ccnyl1	1	64690455	64725644	+	35190	157
Fzd5	1	64730558	64737751	-	7194	3
Plekhm3	1	64785983	64956824	-	170842	122
Akr1cl	1	65012689	65032759	-	20071	10
Cryge	1	65048554	65051149	-	2596	1
Crygd	1	65061872	65063452	-	1581	1
Crygc	1	65071525	65073689	-	2165	1
Crygb	1	65080219	65082288	-	2070	1
Cryga	1	65100389	65103373	-	2985	2
Gm28845	1	65100619	65119558	-	18940	9
D630023F18Rik	1	65105285	65123214	-	17930	11
Idh1	1	65158616	65186500	-	27885	17
Pikfyve	1	65186689	65278695	+	92007	570
Pth2r	1	65282056	65389244	+	107189	72
Crygf	1	65926520	65928307	+	1788	2
Map2	1	66175273	66442583	+	267311	212
Unc80	1	66468367	66699148	+	230782	191
Rpe	1	66700831	66719805	+	18975	237
Kansl1l	1	66719248	66817562	-	98315	1045
Acadl	1	66830839	66863277	-	32439	24
Myl1	1	66924295	66945384	-	21090	8
Lancl1	1	67000517	67038872	-	38356	25
Cps1	1	67123026	67231259	+	108234	72
