# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_24_pos_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_24_srt_flt_pos_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_24_srt_flt_pos_srt.bam
Flacc1	1	58646903	58695989	-	49087	0
Cflar	1	58711551	58758884	+	47334	12
Casp8	1	58795374	58847503	+	52130	3
Trak2	1	58900449	58973430	-	72982	788
Stradb	1	58973522	58995715	+	22194	0
C2cd6	1	58997116	59094900	-	97785	10
Tmem237	1	59100590	59120408	-	19819	56
Mpp4	1	59120935	59163389	-	42455	20
Als2	1	59162926	59237231	-	74306	379
Cdk15	1	59256906	59352993	+	96088	3
Fzd7	1	59482424	59486955	+	4532	0
Gm973	1	59516264	59636417	+	120154	75
Sumo1	1	59639434	59670834	-	31401	794
Nop58	1	59684977	59719044	+	34068	3
Bmpr2	1	59763400	59879014	+	115615	0
Fam117b	1	59913006	59985346	+	72341	4
Ica1l	1	59989068	60043122	-	54055	22
Wdr12	1	60069785	60098645	-	28861	405
Carf	1	60098247	60153953	+	55707	2
Nbeal1	1	60180599	60338328	+	157730	5
Cyp20a1	1	60343323	60388060	+	44738	3
Abi2	1	60409619	60481158	+	71540	64
Raph1	1	60482292	60567104	-	84813	576
Cd28	1	60746358	60773359	+	27002	3
Ctla4	1	60909025	60915832	+	6808	3
Icos	1	60977927	61000320	+	22394	1
Pard3b	1	61638824	62642284	+	1003461	36
Nrp2	1	62703285	62818695	+	115411	0
Ino80d	1	62958418	63114667	-	156250	1394
Ndufs1	1	63143596	63176833	-	33238	426
Eef1b2	1	63176825	63180486	+	3662	1
Gpr1	1	63182691	63214543	-	31853	0
Zdbf2	1	63273265	63314576	+	41312	1
Adam23	1	63445895	63596276	+	150382	3
Gm39653	1	63615968	63620819	+	4852	0
Dytn	1	63622851	63686927	-	64077	1
Mdh1b	1	63698819	63730318	-	31500	1
Fastkd2	1	63730614	63754655	+	24042	0
4933402D24Rik	1	63754907	63769267	-	14361	2
Klf7	1	64029447	64122282	-	92836	1186
Creb1	1	64532645	64604548	+	71904	17
Mettl21a	1	64606473	64617242	-	10770	57
Ccnyl1	1	64690455	64725644	+	35190	3
Fzd5	1	64730558	64737751	-	7194	15
Plekhm3	1	64785983	64956824	-	170842	718
Akr1cl	1	65012689	65032759	-	20071	0
Cryge	1	65048554	65051149	-	2596	0
Crygd	1	65061872	65063452	-	1581	0
Crygc	1	65071525	65073689	-	2165	0
Crygb	1	65080219	65082288	-	2070	0
Cryga	1	65100389	65103373	-	2985	0
Gm28845	1	65100619	65119558	-	18940	0
D630023F18Rik	1	65105285	65123214	-	17930	0
Idh1	1	65158616	65186500	-	27885	49
Pikfyve	1	65186689	65278695	+	92007	1
Pth2r	1	65282056	65389244	+	107189	4
Crygf	1	65926520	65928307	+	1788	0
Map2	1	66175273	66442583	+	267311	13
Unc80	1	66468367	66699148	+	230782	14
Rpe	1	66700831	66719805	+	18975	5
Kansl1l	1	66719248	66817562	-	98315	432
Acadl	1	66830839	66863277	-	32439	354
Myl1	1	66924295	66945384	-	21090	0
Lancl1	1	67000517	67038872	-	38356	228
Cps1	1	67123026	67231259	+	108234	0
Erbb4	1	68032186	69108059	-	1075874	20
Ikzf2	1	69531214	69687245	-	156032	20953
Spag16	1	69826988	70725132	+	898145	25
Vwc2l	1	70725715	70885397	+	159683	1
Bard1	1	71027498	71103146	-	75649	1944
Abca12	1	71242276	71414910	-	172635	1
Atic	1	71557150	71579631	+	22482	1
Fn1	1	71585520	71653200	-	67681	2
Mreg	1	72159442	72212307	-	52866	7
Pecr	1	72259167	72284314	-	25148	42
Tmem169	1	72284369	72303104	+	18736	0
Xrcc5	1	72307427	72394952	+	87526	2
Marchf4	1	72427112	72536930	-	109819	2
Smarcal1	1	72583251	72633134	+	49884	1
Ankar	1	72642980	72700579	-	57600	0
Rpl37a	1	72711290	72713813	+	2524	0
Igfbp2	1	72824503	72852474	+	27972	0
Igfbp5	1	72857932	72874884	-	16953	0
Tnp1	1	73015074	73015909	-	836	0
Tns1	1	73910231	74124449	-	214219	400
Rufy4	1	74125541	74148223	+	22683	1
Cxcr2	1	74153989	74161246	+	7258	0
Cxcr1	1	74191785	74194631	-	2847	0
Arpc2	1	74236084	74268209	+	32126	1
Gpbar1	1	74278550	74279624	+	1075	3
Aamp	1	74279840	74284738	-	4899	147
Pnkd	1	74284930	74353694	+	68765	120
Tmbim1	1	74288247	74305622	-	17376	116
Catip	1	74362108	74369321	+	7214	0
Slc11a1	1	74375195	74386062	+	10868	8
Ctdsp1	1	74391509	74397285	+	5777	16
Vil1	1	74409376	74435559	+	26184	46
Usp37	1	74435511	74544284	-	108774	1222
Cnot9	1	74506058	74530842	+	24785	3
Plcd4	1	74542888	74567794	+	24907	66
Zfp142	1	74565127	74588246	-	23120	417
Bcs1l	1	74588289	74592443	+	4155	19
Rnf25	1	74593748	74601397	-	7650	102
Stk36	1	74601445	74636894	+	35450	2
Ttll4	1	74661745	74703730	+	41986	2
Cyp27a1	1	74713574	74737892	+	24319	0
Prkag3	1	74738922	74749221	-	10300	0
Wnt6	1	74771892	74785322	+	13431	3
Wnt10a	1	74791516	74804179	+	12664	4
Cdk5r2	1	74854934	74857732	+	2799	0
Fev	1	74881509	74885419	-	3911	0
Cryba2	1	74889934	74893143	-	3210	0
Cfap65	1	74902071	74935599	-	33529	0
Ihh	1	74945315	74951672	-	6358	0
Nhej1	1	74967139	75046639	-	79501	299
Slc23a3	1	75125541	75133890	-	8350	7
Cnppd1	1	75134554	75142711	-	8158	143
Retreg2	1	75142778	75147913	+	5136	0
Zfand2b	1	75168646	75171629	+	2984	4
Abcb6	1	75171717	75180392	-	8676	53
Atg9a	1	75180860	75192196	-	11337	182
Ankzf1	1	75192160	75199387	+	7228	51
Glb1l	1	75198243	75210813	-	12571	107
Stk16	1	75210838	75215606	+	4769	14
Tuba4a	1	75214228	75219865	-	5638	100
A630095N17Rik	1	75220095	75232102	-	12008	2
Dnajb2	1	75236406	75245692	+	9287	0
Ptprn	1	75247027	75264502	-	17476	4
Resp18	1	75272199	75278415	-	6217	2
Dnpep	1	75307896	75317990	-	10095	82
Des	1	75360329	75368579	+	8251	0
Speg	1	75375297	75432320	+	57024	0
Gmppa	1	75435930	75443174	+	7245	0
Asic4	1	75450436	75474343	+	23908	9
Chpf	1	75474569	75479307	-	4739	28
Tmem198	1	75479532	75485705	+	6174	3
Obsl1	1	75485825	75506361	-	20537	3
Inha	1	75507077	75510366	+	3290	0
Stk11ip	1	75521529	75537335	+	15807	0
Slc4a3	1	75546266	75562172	+	15907	0
Epha4	1	77367185	77515088	-	147904	9
Pax3	1	78101267	78197134	-	95868	0
Sgpp2	1	78310345	78420289	+	109945	71
Farsb	1	78417975	78488897	-	70923	1119
BC035947	1	78497026	78512158	-	15133	2
Mogat1	1	78510991	78538173	+	27183	1
Acsl3	1	78657825	78707743	+	49919	0
Utp14b	1	78658038	78671512	+	13475	0
Kcne4	1	78816758	78820028	+	3271	0
Scg2	1	79434669	79440120	-	5452	0
Ap1s3	1	79606876	79671972	-	65097	891
Wdfy1	1	79702262	79776143	-	73882	459
Mrpl44	1	79776018	79781445	+	5428	2
Serpine2	1	79794197	79861180	-	66984	354
Fam124b	1	80198706	80213944	-	15239	117
Cul3	1	80264923	80340480	-	75558	2054
Gm45261	1	80449597	80461448	-	11852	0
Dock10	1	80501073	80758448	-	257376	10239
Nyap2	1	81076950	81341764	+	264815	9
Irs1	1	82233101	82291416	-	58316	0
Gm9747	1	82233112	82235933	+	2822	0
Rhbdd1	1	82316452	82445366	+	128915	10
Col4a4	1	82448423	82586849	-	138427	1
Col4a3	1	82586976	82722059	+	135084	7
Mff	1	82724890	82752394	+	27505	0
Tm4sf20	1	82756649	82768461	-	11813	2
Gm47791	1	82770824	82771243	-	420	0
Agfg1	1	82839483	82901182	+	61700	9
A030005L19Rik	1	82913325	82914130	+	806	0
A030014E15Rik	1	82924917	82925712	+	796	0
Gm6217	1	82930571	82931399	-	829	0
A030003K21Rik	1	82942559	82943388	-	830	0
Gm7544	1	82955186	82956013	-	828	0
Gm47955	1	82960286	82960924	+	639	0
Gm47959	1	83000548	83001480	+	933	0
Slc19a3	1	83012523	83038448	-	25926	1
Krtap28	1	83041524	83061921	-	20398	0
Gm47969	1	83044932	83045946	+	1015	0
A030005K14Rik	1	83058286	83059378	-	1093	0
Ccl20	1	83116766	83119167	+	2402	0
Daw1	1	83159762	83210574	+	50813	2
Sphkap	1	83254139	83408200	-	154062	3
Pid1	1	84036296	84364180	-	327885	16
Dner	1	84369839	84696221	-	326383	16
Trip12	1	84721189	84840516	-	119328	2817
Fbxo36	1	84839841	84900487	+	60647	1
Slc16a14	1	84905898	84935134	-	29237	0
AC167036.1	1	84958982	84964572	+	5591	0
AC167036.2	1	85027954	85028844	-	891	0
A530032D15Rik	1	85083069	85109853	-	26785	57
C130026I21Rik	1	85112267	85270566	-	158300	66
Gm7609	1	85199613	85213786	+	14174	0
AC147806.1	1	85484252	85485142	-	891	0
AC147806.2	1	85526602	85552178	+	25577	2
G530012D18Rik	1	85575676	85577295	+	1620	49
Sp110	1	85576899	85598817	-	21919	802
Sp140	1	85600378	85645037	+	44660	14
Sp100	1	85649988	85709998	+	60011	10
A630001G21Rik	1	85717083	85778643	-	61561	1410
Cab39	1	85793441	85851576	+	58136	1
Itm2c	1	85894281	85908675	+	14395	1
4933407L21Rik	1	85928483	85940624	+	12142	70
Gpr55	1	85938318	85961007	-	22690	211
Spata3	1	86018068	86029958	+	11891	0
2810459M11Rik	1	86045863	86055456	+	9594	0
Psmd1	1	86064619	86139151	+	74533	2
Htr2b	1	86099026	86111970	-	12945	1
Gm21972	1	86133637	86162788	+	29152	2
Armc9	1	86154798	86278284	+	123487	14
B3gnt7	1	86303234	86307305	+	4072	1
Ncl	1	86344719	86359400	-	14682	1473
Nmur1	1	86386303	86426228	-	39926	1
Tex44	1	86426329	86428052	+	1724	1
Ptma	1	86526726	86530712	+	3987	4
Pde6d	1	86542994	86582629	-	39636	631
Cops7b	1	86582904	86609375	+	26472	1
Nppc	1	86666291	86670571	-	4281	1
Dis3l2	1	86703819	87050095	+	346277	127
Alppl2	1	87086694	87089928	-	3235	0
Alpi	1	87098002	87101606	-	3605	0
Akp3	1	87125008	87127912	+	2905	0
Ecel1	1	87147655	87156521	-	8867	0
Prss56	1	87183313	87188405	+	5093	0
Chrnd	1	87190637	87200070	+	9434	0
Chrng	1	87204657	87212694	+	8038	7
Eif4e2	1	87213914	87240488	+	26575	2
Efhd1	1	87264363	87310839	+	46477	0
Gigyf2	1	87327003	87450796	+	123794	10
Kcnj13	1	87386363	87394729	-	8367	0
Snorc	1	87470271	87475482	+	5212	0
Ngef	1	87476834	87573870	-	97037	2
Neu2	1	87509889	87597845	+	87957	3
Inpp5d	1	87620312	87720507	+	100196	5
Atg16l1	1	87755870	87792428	+	36559	1
Sag	1	87803680	87845158	+	41479	2
Dgkd	1	87853287	87945180	+	91894	56
Usp40	1	87945119	88008551	-	63433	493
Ugt1a10	1	88055388	88219004	+	163617	5
Ugt1a9	1	88070800	88218997	+	148198	5
Ugt1a8	1	88087813	88219004	+	131192	5
Ugt1a7c	1	88095062	88220002	+	124941	5
Ugt1a6b	1	88103252	88219003	+	115752	5
Ugt1a6a	1	88134809	88218997	+	84189	4
Ugt1a5	1	88166012	88218997	+	52986	3
Ugt1a2	1	88200601	88218997	+	18397	2
Dnajb3	1	88204732	88205782	-	1051	1
Ugt1a1	1	88211959	88218997	+	7039	0
Mroh2a	1	88227020	88262289	+	35270	237
Hjurp	1	88262471	88277633	-	15163	2665
Trpm8	1	88303283	88389293	+	86011	0
Spp2	1	88406961	88426438	+	19478	1
Glrp1	1	88499871	88510066	-	10196	30
Arl4c	1	88673125	88702221	-	29097	153
Sh3bp4	1	89070415	89155068	+	84654	4
Agap1	1	89454806	89897617	+	442812	7
Gbx2	1	89927956	89931179	-	3224	0
Asb18	1	89950220	90014666	-	64447	0
Iqca	1	90042132	90153401	-	111270	0
Ackr3	1	90203980	90216751	+	12772	0
Cops8	1	90602981	90613341	+	10361	0
Col6a3	1	90765923	90843971	-	78049	0
Mlph	1	90915085	90951142	+	36058	1
Prlh	1	90953108	90954027	+	920	0
Rab17	1	90958133	90969661	-	11529	0
Lrrfip1	1	90998737	91128944	+	130208	24
Rbm44	1	91145101	91170795	+	25695	1
Ramp1	1	91179822	91225196	+	45375	2
Ube2f	1	91250311	91290337	+	40027	0
Scly	1	91298338	91321075	+	22738	0
Espnl	1	91322075	91348306	+	26232	3
Klhl30	1	91351016	91362416	+	11401	6
Erfe	1	91366430	91374217	+	7788	90
Ilkap	1	91373861	91398801	-	24941	818
Hes6	1	91411483	91413222	-	1740	25
Per2	1	91415982	91459324	-	43343	74
Traf3ip1	1	91494647	91529307	+	34661	1
Asb1	1	91540544	91559589	+	19046	0
Twist2	1	91801461	91848028	+	46568	21
Hdac4	1	91928779	92180341	-	251563	4739
Ndufa10	1	92439010	92473860	-	34851	325
Olfr1416	1	92475925	92485113	-	9189	0
Olfr1415	1	92489101	92496101	-	7001	0
Olfr1414	1	92506366	92518661	-	12296	0
Olfr1413	1	92571322	92574397	+	3076	1
Olfr1412	1	92585779	92591375	+	5597	0
Olfr1411	1	92594411	92597753	+	3343	0
Olfr1410	1	92605782	92614806	+	9025	0
Olfr12	1	92617788	92623412	+	5625	0
Cops9	1	92637145	92641985	-	4841	46
Otos	1	92644218	92648841	-	4624	2
Gpc1	1	92831645	92860779	+	29135	1
Ankmy1	1	92859803	92902906	-	43104	8
Dusp28	1	92906981	92908435	+	1455	13
Rnpepl1	1	92910783	92924384	+	13602	1
Capn10	1	92934376	92947941	+	13566	3
